unique_id,year,state_po,county_name,votemargin_DR,proportion_explained_by_DR,delta_2012_16,delta_2016_20,abs_delta_2012_16,abs_delta_2016_20,margin_2012,margin_2016,margin_2020,totalvotes,Education,Immigration,Income,Unemployment,Marital
2020_39071,2020,OH,HIGHLAND,-60.4,99,-25.3,-5,25.3,5,-30.1,-55.4,-60.4,19676,13.8,1,20.6,2.7,25.5
2020_39073,2020,OH,HOCKING,-42.4,98.5,-35.8,-5.6,35.8,5.6,-1,-36.8,-42.4,13824,13.9,0.4,26,2.2,26.6
2020_39077,2020,OH,HURON,-41.2,98.3,-28,-4.8,28,4.8,-8.3,-36.4,-41.2,27190,14.7,1.4,26.200000000000003,2.9,31.7
2020_39079,2020,OH,JACKSON,-54.1,98.8,-28.6,-5,28.6,5,-20.5,-49.1,-54.1,14794,14.8,0.6,21.3,4,27.2
2020_39081,2020,OH,JEFFERSON,-38.4,98.5,-30.5,-2.9,30.5,2.9,-5,-35.5,-38.4,33362,17.5,1.3,19.7,3.1,32
2020_39083,2020,OH,KNOX,-43.8,98.5,-14.3,-5.6,14.3,5.6,-23.9,-38.2,-43.8,31398,22.6,1.3,31.5,2.6,31.5
2020_39099,2020,OH,MAHONING,-1.9,98.8,-25.1,-5.2,25.1,5.2,28.4,3.3,-1.9,118966,24.6,2.5,19.9,4.8,35.6
2020_39101,2020,OH,MARION,-38.7,98.1,-27.9,-4.3,27.9,4.3,-6.4,-34.3,-38.7,27818,12.9,1.4,21.6,3.2,34.6
2020_39111,2020,OH,MONROE,-54,98.9,-39.6,-6.8,39.6,6.8,-7.6,-47.2,-54,7148,12.1,0.6,19.2,2.4,28.8
2020_39115,2020,OH,MORGAN,-48.4,98.8,-35.9,-6.6,35.9,6.6,-6,-41.8,-48.4,6847,10.4,0.3,17.2,2.1,26.5
2020_39117,2020,OH,MORROW,-54.3,98.2,-25.2,-4.9,25.2,4.9,-24.3,-49.5,-54.3,18457,14.7,1.2,31.6,1.7,27.6
2020_39119,2020,OH,MUSKINGUM,-39.3,98.5,-28.9,-4.3,28.9,4.3,-6.1,-35,-39.3,40465,17.5,0.8,20.9,3.1,34.1
2020_39121,2020,OH,NOBLE,-62.5,99.4,-31,-7.2,31,7.2,-24.4,-55.3,-62.5,6343,11,0.5,22.3,1.9,30
2020_39123,2020,OH,OTTAWA,-23.4,98.5,-24,-3.8,24,3.8,4.3,-19.7,-23.4,24007,23.9,1.3,29.7,2.1,24.2
2020_39127,2020,OH,PERRY,-49.5,98.7,-36.6,-8.9,36.6,8.9,-4,-40.6,-49.5,16675,13,0.5,24.6,3.5,28.9
2020_39129,2020,OH,PICKAWAY,-47,98.7,-24.6,-4.4,24.6,4.4,-18,-42.6,-47,28271,18.6,1,31.5,2.5,38.7
2020_39131,2020,OH,PIKE,-48.7,98.8,-36.7,-12,36.7,12,-0,-36.7,-48.7,12412,14.2,0.3,17.5,2.6,29.7
2020_39135,2020,OH,PREBLE,-57.4,98.7,-17.8,-3.4,17.8,3.4,-36.3,-54.1,-57.4,21809,18.2,0.8999999999999999,31.3,2,25.4
2020_39141,2020,OH,ROSS,-35.2,98.6,-25.8,-7.9,25.8,7.9,-1.5,-27.3,-35.2,33299,16.2,1,23.4,3.2,34
2020_39143,2020,OH,SANDUSKY,-27.6,98.1,-25.5,-4.8,25.5,4.8,2.7,-22.8,-27.6,30074,16.5,1.7999999999999998,26.4,2.8,31.8
2020_39145,2020,OH,SCIOTO,-42.2,98.9,-35.8,-5.1,35.8,5.1,-1.3,-37.1,-42.2,32047,15.6,0.7000000000000001,15.7,3.3,34.7
2020_39147,2020,OH,SENECA,-34.2,98.2,-23.5,-3.2,23.5,3.2,-7.5,-30.9,-34.2,25810,17.3,2.1,24.5,2.6,37.7
2020_39155,2020,OH,TRUMBULL,-10.6,98.7,-29.3,-4.3,29.3,4.3,23,-6.3,-10.6,101001,19.2,1.5,20.4,2.6,34.5
2020_39157,2020,OH,TUSCARAWAS,-39.9,98.5,-26.5,-4.2,26.5,4.2,-9.2,-35.7,-39.9,44015,17.9,1.9,25.8,3.4,29.7
2020_39163,2020,OH,VINTON,-54.7,98.9,-38.3,-8.7,38.3,8.7,-7.7,-46,-54.7,6030,12.8,0.7000000000000001,18.2,3.2,26
2020_39175,2020,OH,WYANDOT,-50.3,98.3,-27.4,-3.5,27.4,3.5,-19.3,-46.8,-50.3,11390,19.3,1.4,28.499999999999996,2.1,27.2
2020_40001,2020,OK,ADAIR,-59.1,98.1,-17.6,-6.8,17.6,6.8,-34.6,-52.3,-59.1,7108,10.8,1.7999999999999998,9.7,2.6,30.6
2020_40005,2020,OK,ATOKA,-70.4,98.8,-17.5,-4.8,17.5,4.8,-48,-65.5,-70.4,5389,16.4,1.6,16.1,1.9,31.5
2020_40023,2020,OK,CHOCTAW,-62,99.1,-16.8,-4.2,16.8,4.2,-41,-57.9,-62,5832,13.5,1.4,11.9,3.7,28.5
2020_40029,2020,OK,COAL,-68,97.7,-17,-6,17,6,-45,-62,-68,2524,17.3,1.1,16,3.1,26.6
2020_40033,2020,OK,COTTON,-67,97.6,-16.2,-4.4,16.2,4.4,-46.4,-62.6,-67,2572,15.1,0.6,21.9,2.5,29.8
2020_40035,2020,OK,CRAIG,-57.5,97.9,-18.2,-5.1,18.2,5.1,-34.2,-52.4,-57.5,6032,14.4,1.7000000000000002,16.6,2.4,30.8
2020_40041,2020,OK,DELAWARE,-58.5,98.7,-13,-4.3,13,4.3,-41.2,-54.2,-58.5,17245,18.2,2,17.599999999999998,3,25.6
2020_40049,2020,OK,GARVIN,-64.2,98.4,-14.6,-3.5,14.6,3.5,-46,-60.7,-64.2,10922,15.8,3.5000000000000004,20.1,1.7,29.2
2020_40055,2020,OK,GREER,-64.7,98,-14.4,-3.6,14.4,3.6,-46.7,-61.1,-64.7,1973,12.3,1.3,19.6,2.4,34.6
2020_40061,2020,OK,HASKELL,-67.5,98.7,-14.9,-8,14.9,8,-44.6,-59.5,-67.5,5014,15.5,2.3,17.4,4.2,23.3
2020_40063,2020,OK,HUGHES,-60.9,98.7,-18.7,-7.2,18.7,7.2,-34.9,-53.6,-60.9,4857,14.8,1.6,12.6,3.4,41.3
2020_40067,2020,OK,JEFFERSON,-71.6,98.3,-19.8,-5.8,19.8,5.8,-46,-65.7,-71.6,2385,15.5,2.6,17.299999999999997,2.9,28
2020_40069,2020,OK,JOHNSTON,-63.6,98.3,-17.5,-6.2,17.5,6.2,-39.9,-57.4,-63.6,4251,22.7,1.6,17.599999999999998,3.3,29.1
2020_40075,2020,OK,KIOWA,-57.6,98.4,-17,-5.2,17,5.2,-35.4,-52.4,-57.6,3427,18.1,1.3,10,1.8,27.2
2020_40077,2020,OK,LATIMER,-63,98.8,-18.4,-6.2,18.4,6.2,-38.4,-56.8,-63,4249,15.4,1.7000000000000002,14.2,5,21.9
2020_40079,2020,OK,LE FLORE,-63.4,98.4,-17.6,-4.6,17.6,4.6,-41.1,-58.7,-63.4,18805,15.7,3.2,15.7,2.7,27.3
2020_40081,2020,OK,LINCOLN,-63.2,98.2,-11.1,-3.1,11.1,3.1,-49,-60.1,-63.2,14888,14.6,1,23.200000000000003,2.2,26.6
2020_40085,2020,OK,LOVE,-63.6,98.5,-17.3,-5.9,17.3,5.9,-40.4,-57.7,-63.6,4076,13.4,6.6000000000000005,25.7,3.1,31.2
2020_40095,2020,OK,MARSHALL,-62.5,98.8,-10.9,-5.9,10.9,5.9,-45.7,-56.6,-62.5,6064,15.2,7.000000000000001,21.1,1.7,24.5
2020_40097,2020,OK,MAYES,-55.1,98.2,-18.4,-3.4,18.4,3.4,-33.3,-51.7,-55.1,16626,14.5,1.1,22.2,3.1,26.7
2020_40091,2020,OK,MCINTOSH,-49.7,98.4,-18.7,-7.2,18.7,7.2,-23.7,-42.5,-49.7,8335,13.1,1.5,13.900000000000002,2.3,25.6
2020_40101,2020,OK,MUSKOGEE,-33.9,97.9,-14.4,-4.7,14.4,4.7,-14.8,-29.2,-33.9,25081,19.8,2.6,15.5,3.4,31.4
2020_40105,2020,OK,NOWATA,-66,98.4,-21.9,-5.1,21.9,5.1,-39,-60.9,-66,4391,13.5,1,15.8,3.5,25.3
2020_40107,2020,OK,OKFUSKEE,-53.5,97.9,-17,-6.4,17,6.4,-30,-47.1,-53.5,4038,11.4,1.6,14.9,2.5,33.2
2020_40111,2020,OK,OKMULGEE,-37.1,98,-15.2,-4.4,15.2,4.4,-17.5,-32.7,-37.1,14313,14.2,0.8999999999999999,18.4,4.4,34.3
2020_40115,2020,OK,OTTAWA,-51.2,98.2,-17.6,-4,17.6,4,-29.6,-47.2,-51.2,11438,15.3,2.5,14.7,2.7,32.3
2020_40117,2020,OK,PAWNEE,-57.5,97.7,-13.2,-4.3,13.2,4.3,-40,-53.2,-57.5,6786,17.7,0.3,23,2.1,25.9
2020_40121,2020,OK,PITTSBURG,-56.3,98.3,-14,-3.9,14,3.9,-38.3,-52.4,-56.3,17924,18.3,2.1999999999999997,20.200000000000003,3.6,27.7
2020_40127,2020,OK,PUSHMATAHA,-70.6,98.8,-13.7,-7.5,13.7,7.5,-49.5,-63.2,-70.6,4739,14.7,0.7000000000000001,12.8,3.9,23.7
